model_name,optimizer,loss,epoch,batch_size,learning_rate,idx_repeat,test_loss,test_accuracy
model_01,adam,categorical_crossentropy,10,32,0.001,0,1.1964682340621948,0.41086065769195557
model_01,adam,categorical_crossentropy,10,32,0.001,1,1.078680396080017,0.6086065769195557
model_01,adam,categorical_crossentropy,10,32,0.001,2,1.1920930376163597e-07,0.16086065769195557
model_01,adam,categorical_crossentropy,10,32,0.001,3,1.3947612047195435,0.1803278625011444
model_01,adam,categorical_crossentropy,10,32,0.001,4,0.9716827869415283,0.6752049326896667
model_01,adam,categorical_crossentropy,10,32,0.0001,0,1.4151933193206787,0.1598360687494278
model_01,adam,categorical_crossentropy,10,32,0.0001,1,1.2987536191940308,0.3237704932689667
model_01,adam,categorical_crossentropy,10,32,0.0001,2,1.2781760692596436,0.46311476826667786
model_01,adam,categorical_crossentropy,10,32,0.0001,3,1.0681332349777222,0.6639344096183777
model_01,adam,categorical_crossentropy,10,32,0.0001,4,1.9184333086013794,0.17315573990345
model_01,adam,categorical_crossentropy,10,32,1e-05,0,2.3000409603118896,0.1772540956735611
model_01,adam,categorical_crossentropy,10,32,1e-05,1,1.997092366218567,0.24590164422988892
model_01,adam,categorical_crossentropy,10,32,1e-05,2,1.7373617887496948,0.1598360687494278
model_01,adam,categorical_crossentropy,10,32,1e-05,3,2.6539573669433594,0.35655736923217773
model_01,adam,categorical_crossentropy,10,32,1e-05,4,11.372857093811035,0.15163934230804443
model_01,adam,categorical_crossentropy,10,128,0.001,0,1.3895738124847412,0.18954917788505554
model_01,adam,categorical_crossentropy,10,128,0.001,1,1.0700232982635498,0.625
model_01,adam,categorical_crossentropy,10,128,0.001,2,1.1920930376163597e-07,0.16086065769195557
model_01,adam,categorical_crossentropy,10,128,0.001,3,1.1068241596221924,0.7049180269241333
model_01,adam,categorical_crossentropy,10,128,0.001,4,0.9698728322982788,0.6752049326896667
model_01,adam,categorical_crossentropy,10,128,0.0001,0,1.1920930376163597e-07,0.16086065769195557
model_01,adam,categorical_crossentropy,10,128,0.0001,1,1.7699518203735352,0.1629098355770111
model_01,adam,categorical_crossentropy,10,128,0.0001,2,1.1920930376163597e-07,0.16086065769195557
model_01,adam,categorical_crossentropy,10,128,0.0001,3,1.1920930376163597e-07,0.16086065769195557
model_01,adam,categorical_crossentropy,10,128,0.0001,4,1.1920930376163597e-07,0.16086065769195557
model_01,adam,categorical_crossentropy,10,128,1e-05,0,6.219452381134033,0.12704917788505554
model_01,adam,categorical_crossentropy,10,128,1e-05,1,3.895164966583252,0.17315573990345
model_01,adam,categorical_crossentropy,10,128,1e-05,2,8.589383125305176,0.1526639312505722
model_01,adam,categorical_crossentropy,10,128,1e-05,3,1.1920930376163597e-07,0.16086065769195557
model_01,adam,categorical_crossentropy,10,128,1e-05,4,1.1920930376163597e-07,0.16086065769195557
model_01,adam,categorical_crossentropy,50,32,0.001,0,0.968678891658783,0.6301229596138
model_01,adam,categorical_crossentropy,50,32,0.001,1,0.9106113910675049,0.6997950673103333
model_01,adam,categorical_crossentropy,50,32,0.001,2,0.9082242250442505,0.7028688788414001
model_01,adam,categorical_crossentropy,50,32,0.001,3,0.9094337821006775,0.7028688788414001
model_01,adam,categorical_crossentropy,50,32,0.001,4,1.1920930376163597e-07,0.16086065769195557
model_01,adam,categorical_crossentropy,50,32,0.0001,0,1.1132211685180664,0.47336065769195557
model_01,adam,categorical_crossentropy,50,32,0.0001,1,1.4443745613098145,0.16086065769195557
model_01,adam,categorical_crossentropy,50,32,0.0001,2,1.448110818862915,0.15368852019309998
model_01,adam,categorical_crossentropy,50,32,0.0001,3,1.1920930376163597e-07,0.16086065769195557
model_01,adam,categorical_crossentropy,50,32,0.0001,4,1.1920930376163597e-07,0.16086065769195557
model_01,adam,categorical_crossentropy,50,32,1e-05,0,1.302177906036377,0.6075819730758667
model_01,adam,categorical_crossentropy,50,32,1e-05,1,10.269618034362793,0.17827868461608887
model_01,adam,categorical_crossentropy,50,32,1e-05,2,1.8096829652786255,0.1670081913471222
model_01,adam,categorical_crossentropy,50,32,1e-05,3,1.1920930376163597e-07,0.16086065769195557
model_01,adam,categorical_crossentropy,50,32,1e-05,4,1.1920930376163597e-07,0.16086065769195557
model_01,adam,categorical_crossentropy,50,128,0.001,0,1.1980406045913696,0.3965163826942444
model_01,adam,categorical_crossentropy,50,128,0.001,1,1.1920930376163597e-07,0.16086065769195557
model_01,adam,categorical_crossentropy,50,128,0.001,2,0.9210031032562256,0.6997950673103333
model_01,adam,categorical_crossentropy,50,128,0.001,3,0.9144954085350037,0.7018442749977112
model_01,adam,categorical_crossentropy,50,128,0.001,4,1.1156420707702637,0.47745901346206665
model_01,adam,categorical_crossentropy,50,128,0.0001,0,1.383810043334961,0.1598360687494278
model_01,adam,categorical_crossentropy,50,128,0.0001,1,1.1920930376163597e-07,0.16086065769195557
model_01,adam,categorical_crossentropy,50,128,0.0001,2,1.1920930376163597e-07,0.16086065769195557
model_01,adam,categorical_crossentropy,50,128,0.0001,3,1.4476194381713867,0.18135246634483337
model_01,adam,categorical_crossentropy,50,128,0.0001,4,1.442581295967102,0.14139343798160553
model_01,adam,categorical_crossentropy,50,128,1e-05,0,1.3979746103286743,0.2745901644229889
model_01,adam,categorical_crossentropy,50,128,1e-05,1,1.911657452583313,0.31762295961380005
model_01,adam,categorical_crossentropy,50,128,1e-05,2,5.4793877601623535,0.14651639759540558
model_01,adam,categorical_crossentropy,50,128,1e-05,3,3.7816851139068604,0.16086065769195557
model_01,adam,categorical_crossentropy,50,128,1e-05,4,9.848287582397461,0.17827868461608887
model_01,adam,categorical_crossentropy,200,32,0.001,0,1.1920930376163597e-07,0.16086065769195557
model_01,adam,categorical_crossentropy,200,32,0.001,1,0.909290611743927,0.7028688788414001
model_01,adam,categorical_crossentropy,200,32,0.001,2,0.9091083407402039,0.7028688788414001
model_01,adam,categorical_crossentropy,200,32,0.001,3,0.9145305156707764,0.7028688788414001
model_01,adam,categorical_crossentropy,200,32,0.001,4,0.9253424406051636,0.7028688788414001
model_01,adam,categorical_crossentropy,200,32,0.0001,0,1.0364495515823364,0.6372950673103333
model_01,adam,categorical_crossentropy,200,32,0.0001,1,0.984600305557251,0.6700819730758667
model_01,adam,categorical_crossentropy,200,32,0.0001,2,1.191037654876709,0.2561475336551666
model_01,adam,categorical_crossentropy,200,32,0.0001,3,1.0888296365737915,0.5758196711540222
model_01,adam,categorical_crossentropy,200,32,0.0001,4,1.2342371940612793,0.6946721076965332
model_01,adam,categorical_crossentropy,200,32,1e-05,0,1.0995827913284302,0.5338114500045776
model_01,adam,categorical_crossentropy,200,32,1e-05,1,1.1920930376163597e-07,0.16086065769195557
model_01,adam,categorical_crossentropy,200,32,1e-05,2,1.1920930376163597e-07,0.16086065769195557
model_01,adam,categorical_crossentropy,200,32,1e-05,3,1.7599496841430664,0.28586065769195557
model_01,adam,categorical_crossentropy,200,32,1e-05,4,1.5019806623458862,0.3411885201931
model_01,adam,categorical_crossentropy,200,128,0.001,0,0.90708327293396,0.7028688788414001
model_01,adam,categorical_crossentropy,200,128,0.001,1,0.9134009480476379,0.7028688788414001
model_01,adam,categorical_crossentropy,200,128,0.001,2,0.9238777756690979,0.7028688788414001
model_01,adam,categorical_crossentropy,200,128,0.001,3,0.9375810027122498,0.7028688788414001
model_01,adam,categorical_crossentropy,200,128,0.001,4,0.9281648397445679,0.6967213153839111
model_01,adam,categorical_crossentropy,200,128,0.0001,0,0.9355162382125854,0.7028688788414001
model_01,adam,categorical_crossentropy,200,128,0.0001,1,1.3797829151153564,0.19979508221149445
model_01,adam,categorical_crossentropy,200,128,0.0001,2,1.0605719089508057,0.681352436542511
model_01,adam,categorical_crossentropy,200,128,0.0001,3,0.9388325214385986,0.6997950673103333
model_01,adam,categorical_crossentropy,200,128,0.0001,4,1.4091362953186035,0.1598360687494278
model_01,adam,categorical_crossentropy,200,128,1e-05,0,2.7394261360168457,0.5461065769195557
model_01,adam,categorical_crossentropy,200,128,1e-05,1,1.8436357975006104,0.6629098653793335
model_01,adam,categorical_crossentropy,200,128,1e-05,2,1.1831024885177612,0.47028687596321106
model_01,adam,categorical_crossentropy,200,128,1e-05,3,1.9059877395629883,0.6065573692321777
model_01,adam,categorical_crossentropy,200,128,1e-05,4,1.4978833198547363,0.1629098355770111
model_01,adam,binary_crossentropy,10,32,0.001,0,0.4581007957458496,0.7008196711540222
model_01,adam,binary_crossentropy,10,32,0.001,1,0.40354984998703003,0.7028688788414001
model_01,adam,binary_crossentropy,10,32,0.001,2,0.3919786810874939,0.7018442749977112
model_01,adam,binary_crossentropy,10,32,0.001,3,0.3892156481742859,0.7028688788414001
model_01,adam,binary_crossentropy,10,32,0.001,4,0.3958381414413452,0.6997950673103333
model_01,adam,binary_crossentropy,10,32,0.0001,0,1.2904304265975952,0.6362704634666443
model_01,adam,binary_crossentropy,10,32,0.0001,1,2.0534543991088867,0.6270492076873779
model_01,adam,binary_crossentropy,10,32,0.0001,2,1.710532784461975,0.6301229596138
model_01,adam,binary_crossentropy,10,32,0.0001,3,1.9133418798446655,0.6495901346206665
model_01,adam,binary_crossentropy,10,32,0.0001,4,1.5913804769515991,0.6352459192276001
model_01,adam,binary_crossentropy,10,32,1e-05,0,7.809055328369141,0.5430327653884888
model_01,adam,binary_crossentropy,10,32,1e-05,1,18.87000274658203,0.3954918086528778
model_01,adam,binary_crossentropy,10,32,1e-05,2,3.009430170059204,0.5297130942344666
model_01,adam,binary_crossentropy,10,32,1e-05,3,16.730510711669922,0.39344263076782227
model_01,adam,binary_crossentropy,10,32,1e-05,4,13.541951179504395,0.4405737817287445
model_01,adam,binary_crossentropy,10,128,0.001,0,0.4526526629924774,0.6977459192276001
model_01,adam,binary_crossentropy,10,128,0.001,1,0.49534690380096436,0.6946721076965332
model_01,adam,binary_crossentropy,10,128,0.001,2,0.5380198955535889,0.6762295365333557
model_01,adam,binary_crossentropy,10,128,0.001,3,0.5006927251815796,0.6741803288459778
model_01,adam,binary_crossentropy,10,128,0.001,4,0.4797695279121399,0.6823770403862
model_01,adam,binary_crossentropy,10,128,0.0001,0,1.8059991598129272,0.5706967115402222
model_01,adam,binary_crossentropy,10,128,0.0001,1,2.202136754989624,0.5092213153839111
model_01,adam,binary_crossentropy,10,128,0.0001,2,2.2386417388916016,0.6127049326896667
model_01,adam,binary_crossentropy,10,128,0.0001,3,4.098119258880615,0.6157786846160889
model_01,adam,binary_crossentropy,10,128,0.0001,4,1.2125380039215088,0.6444672346115112
model_01,adam,binary_crossentropy,10,128,1e-05,0,49.325191497802734,0.19262294471263885
model_01,adam,binary_crossentropy,10,128,1e-05,1,14.913664817810059,0.13114753365516663
model_01,adam,binary_crossentropy,10,128,1e-05,2,129.67752075195312,0.13627049326896667
model_01,adam,binary_crossentropy,10,128,1e-05,3,147.0794219970703,0.19877049326896667
model_01,adam,binary_crossentropy,10,128,1e-05,4,76.1263427734375,0.09631147235631943
model_01,adam,binary_crossentropy,50,32,0.001,0,0.3871851861476898,0.7028688788414001
model_01,adam,binary_crossentropy,50,32,0.001,1,0.3884352147579193,0.7028688788414001
model_01,adam,binary_crossentropy,50,32,0.001,2,0.3881528377532959,0.7028688788414001
model_01,adam,binary_crossentropy,50,32,0.001,3,0.38720375299453735,0.7028688788414001
model_01,adam,binary_crossentropy,50,32,0.001,4,0.39055657386779785,0.7028688788414001
model_01,adam,binary_crossentropy,50,32,0.0001,0,0.41930127143859863,0.6997950673103333
model_01,adam,binary_crossentropy,50,32,0.0001,1,0.4028424918651581,0.7018442749977112
model_01,adam,binary_crossentropy,50,32,0.0001,2,0.3967951834201813,0.6997950673103333
model_01,adam,binary_crossentropy,50,32,0.0001,3,0.5188698768615723,0.7008196711540222
model_01,adam,binary_crossentropy,50,32,0.0001,4,0.4187765419483185,0.7028688788414001
model_01,adam,binary_crossentropy,50,32,1e-05,0,3.6418628692626953,0.5758196711540222
model_01,adam,binary_crossentropy,50,32,1e-05,1,2.6107616424560547,0.5143442749977112
model_01,adam,binary_crossentropy,50,32,1e-05,2,1.8308522701263428,0.625
model_01,adam,binary_crossentropy,50,32,1e-05,3,0.8646219968795776,0.6547130942344666
model_01,adam,binary_crossentropy,50,32,1e-05,4,2.5801568031311035,0.5532786846160889
model_01,adam,binary_crossentropy,50,128,0.001,0,0.44038695096969604,0.6977459192276001
model_01,adam,binary_crossentropy,50,128,0.001,1,0.42952588200569153,0.6997950673103333
model_01,adam,binary_crossentropy,50,128,0.001,2,0.393093466758728,0.7028688788414001
model_01,adam,binary_crossentropy,50,128,0.001,3,0.4375775158405304,0.7028688788414001
model_01,adam,binary_crossentropy,50,128,0.001,4,0.3926219046115875,0.7028688788414001
model_01,adam,binary_crossentropy,50,128,0.0001,0,0.5348272919654846,0.686475396156311
model_01,adam,binary_crossentropy,50,128,0.0001,1,0.7668792009353638,0.6700819730758667
model_01,adam,binary_crossentropy,50,128,0.0001,2,0.7962292432785034,0.6823770403862
model_01,adam,binary_crossentropy,50,128,0.0001,3,0.47512614727020264,0.6956967115402222
model_01,adam,binary_crossentropy,50,128,0.0001,4,0.872962474822998,0.6608606576919556
model_01,adam,binary_crossentropy,50,128,1e-05,0,5.097044467926025,0.6055327653884888
model_01,adam,binary_crossentropy,50,128,1e-05,1,11.002017974853516,0.3022541105747223
model_01,adam,binary_crossentropy,50,128,1e-05,2,10.42691421508789,0.506147563457489
model_01,adam,binary_crossentropy,50,128,1e-05,3,7.004485130310059,0.3463114798069
model_01,adam,binary_crossentropy,50,128,1e-05,4,20.518983840942383,0.26844263076782227
model_01,adam,binary_crossentropy,200,32,0.001,0,0.38671547174453735,0.7028688788414001
model_01,adam,binary_crossentropy,200,32,0.001,1,0.38678428530693054,0.7028688788414001
model_01,adam,binary_crossentropy,200,32,0.001,2,0.38706332445144653,0.7028688788414001
model_01,adam,binary_crossentropy,200,32,0.001,3,0.386894166469574,0.7028688788414001
model_01,adam,binary_crossentropy,200,32,0.001,4,0.3867989480495453,0.7028688788414001
model_01,adam,binary_crossentropy,200,32,0.0001,0,0.41692954301834106,0.6987704634666443
model_01,adam,binary_crossentropy,200,32,0.0001,1,0.4065222144126892,0.6905737519264221
model_01,adam,binary_crossentropy,200,32,0.0001,2,0.4044099450111389,0.7018442749977112
model_01,adam,binary_crossentropy,200,32,0.0001,3,0.39108020067214966,0.7028688788414001
model_01,adam,binary_crossentropy,200,32,0.0001,4,0.38893789052963257,0.7028688788414001
model_01,adam,binary_crossentropy,200,32,1e-05,0,0.4823215901851654,0.6987704634666443
