optimizer,loss,epoch,batch_size,learning_rate,idx_repeat,Loss,Accuracy
adam,categorical_crossentropy,250,30,1e-05,0,0.5330281853675842,0.8537634611129761
adam,categorical_crossentropy,250,30,1e-05,1,0.5897949934005737,0.8559139966964722
adam,categorical_crossentropy,250,30,1e-05,2,0.5232340693473816,0.8458781242370605
adam,categorical_crossentropy,250,30,1e-05,3,0.6612389087677002,0.8437275886535645
adam,categorical_crossentropy,250,30,1e-05,4,0.5015384554862976,0.8630824089050293
adam,categorical_crossentropy,250,30,1e-05,5,0.5982657670974731,0.8530465960502625
adam,categorical_crossentropy,250,30,1e-05,6,0.5242350697517395,0.8379928469657898
adam,categorical_crossentropy,250,30,1e-05,7,0.5997726917266846,0.8458781242370605
adam,categorical_crossentropy,250,30,1e-05,8,0.5598926544189453,0.8372759819030762
adam,categorical_crossentropy,250,30,1e-05,9,0.5384234189987183,0.8487455248832703
adam,categorical_crossentropy,250,30,1e-05,10,0.49456265568733215,0.8559139966964722
adam,categorical_crossentropy,250,30,1e-05,11,0.5756095051765442,0.8458781242370605
adam,categorical_crossentropy,250,30,1e-05,12,0.5949433445930481,0.8487455248832703
adam,categorical_crossentropy,250,30,1e-05,13,0.5578412413597107,0.8623656034469604
adam,categorical_crossentropy,250,30,1e-05,14,0.6392289400100708,0.865949809551239
