model_name,optimizer,loss,epoch,batch_size,learning_rate,idx_repeat,test_loss,test_accuracy
model_01,adam,categorical_crossentropy,10,128,0.0001,0,65.76937103271484,0.2186732143163681
model_01,adam,categorical_crossentropy,10,128,0.0001,1,40.35234832763672,0.3169533312320709
model_01,adam,categorical_crossentropy,10,128,0.0001,2,76.08960723876953,0.3808353841304779
model_01,adam,categorical_crossentropy,10,128,0.0001,3,132.26976013183594,0.24201473593711853
model_01,adam,categorical_crossentropy,10,128,0.0001,4,26.04719352722168,0.37100738286972046
model_01,adam,categorical_crossentropy,10,128,1e-05,0,61.490997314453125,0.2936117947101593
model_01,adam,categorical_crossentropy,10,128,1e-05,1,121.8945083618164,0.2616707682609558
model_01,adam,categorical_crossentropy,10,128,1e-05,2,48.77579879760742,0.2444717437028885
model_01,adam,categorical_crossentropy,10,128,1e-05,3,164.86798095703125,0.27886977791786194
model_01,adam,categorical_crossentropy,10,128,1e-05,4,193.0631103515625,0.2936117947101593
model_01,adam,categorical_crossentropy,30,32,0.001,0,1.1615301370620728,0.5958231091499329
model_01,adam,categorical_crossentropy,30,32,0.001,1,1.0977356433868408,0.5982800722122192
model_01,adam,categorical_crossentropy,30,32,0.001,2,1.147201418876648,0.5945945978164673
model_01,adam,categorical_crossentropy,30,32,0.001,3,1.1100519895553589,0.5786240696907043
model_01,adam,categorical_crossentropy,30,32,0.001,4,1.477113127708435,0.5737100839614868
model_01,adam,categorical_crossentropy,30,32,0.0001,0,1.2473335266113281,0.5958231091499329
model_01,adam,categorical_crossentropy,30,32,0.0001,1,3.129159450531006,0.5773955583572388
model_01,adam,categorical_crossentropy,30,32,0.0001,2,4.231250286102295,0.522113025188446
model_01,adam,categorical_crossentropy,30,32,0.0001,3,3.655449151992798,0.4864864945411682
model_01,adam,categorical_crossentropy,30,32,0.0001,4,1.1872202157974243,0.5995085835456848
model_01,adam,categorical_crossentropy,30,32,1e-05,0,9.252387046813965,0.3427518308162689
model_01,adam,categorical_crossentropy,30,32,1e-05,1,19.118701934814453,0.4877149760723114
model_01,adam,categorical_crossentropy,30,32,1e-05,2,10.255058288574219,0.40294840931892395
model_01,adam,categorical_crossentropy,30,32,1e-05,3,38.4374885559082,0.47911548614501953
model_01,adam,categorical_crossentropy,30,32,1e-05,4,102.83676147460938,0.07371007651090622
model_01,adam,categorical_crossentropy,30,128,0.001,0,1.4358009099960327,0.5724815726280212
model_01,adam,categorical_crossentropy,30,128,0.001,1,1.6138125658035278,0.5958231091499329
model_01,adam,categorical_crossentropy,30,128,0.001,2,1.1702054738998413,0.5884521007537842
model_01,adam,categorical_crossentropy,30,128,0.001,3,1.2183367013931274,0.5847665667533875
model_01,adam,categorical_crossentropy,30,128,0.001,4,2.2913570404052734,0.5798525810241699
model_01,adam,categorical_crossentropy,30,128,0.0001,0,21.112266540527344,0.488943487405777
model_01,adam,categorical_crossentropy,30,128,0.0001,1,4.572476387023926,0.48525798320770264
model_01,adam,categorical_crossentropy,30,128,0.0001,2,6.050002098083496,0.5135135054588318
model_01,adam,categorical_crossentropy,30,128,0.0001,3,15.557249069213867,0.44717445969581604
model_01,adam,categorical_crossentropy,30,128,0.0001,4,11.446011543273926,0.5515970587730408
model_01,adam,categorical_crossentropy,30,128,1e-05,0,122.55919647216797,0.21498771011829376
model_01,adam,categorical_crossentropy,30,128,1e-05,1,176.7880401611328,0.1498771458864212
model_01,adam,categorical_crossentropy,30,128,1e-05,2,229.83810424804688,0.26044225692749023
model_01,adam,categorical_crossentropy,30,128,1e-05,3,37.858577728271484,0.44717445969581604
model_01,adam,categorical_crossentropy,30,128,1e-05,4,158.61705017089844,0.13267813622951508
model_01,adam,categorical_crossentropy,100,32,0.001,0,1.0707533359527588,0.5970516204833984
model_01,adam,categorical_crossentropy,100,32,0.001,1,1.1309139728546143,0.5737100839614868
model_01,adam,categorical_crossentropy,100,32,0.001,2,1.0556752681732178,0.5970516204833984
model_01,adam,categorical_crossentropy,100,32,0.001,3,1.1065456867218018,0.5921375751495361
model_01,adam,categorical_crossentropy,100,32,0.001,4,1.0844247341156006,0.5945945978164673
model_01,adam,categorical_crossentropy,100,32,0.0001,0,2.3456060886383057,0.5466830730438232
model_01,adam,categorical_crossentropy,100,32,0.0001,1,1.2411774396896362,0.5958231091499329
model_01,adam,categorical_crossentropy,100,32,0.0001,2,1.3482038974761963,0.5933660864830017
model_01,adam,categorical_crossentropy,100,32,0.0001,3,1.4021550416946411,0.5761670470237732
model_01,adam,categorical_crossentropy,100,32,0.0001,4,1.6261526346206665,0.5810810923576355
model_01,adam,categorical_crossentropy,100,32,1e-05,0,2.811396598815918,0.44840294122695923
model_01,adam,categorical_crossentropy,100,32,1e-05,1,10.353797912597656,0.5270270109176636
model_01,adam,categorical_crossentropy,100,32,1e-05,2,6.235349178314209,0.5626535415649414
model_01,adam,categorical_crossentropy,100,32,1e-05,3,5.32858943939209,0.4938575029373169
model_01,adam,categorical_crossentropy,100,32,1e-05,4,10.309937477111816,0.4754299819469452
model_01,adam,categorical_crossentropy,100,128,0.001,0,1.093827724456787,0.5958231091499329
model_01,adam,categorical_crossentropy,100,128,0.001,1,1.6873506307601929,0.5577395558357239
model_01,adam,categorical_crossentropy,100,128,0.001,2,1.743872046470642,0.5896806120872498
model_01,adam,categorical_crossentropy,100,128,0.001,3,1.135478138923645,0.5958231091499329
model_01,adam,categorical_crossentropy,100,128,0.001,4,1.1779632568359375,0.5712530612945557
model_01,adam,categorical_crossentropy,100,128,0.0001,0,12.07723617553711,0.44717445969581604
model_01,adam,categorical_crossentropy,100,128,0.0001,1,4.35948371887207,0.5085995197296143
model_01,adam,categorical_crossentropy,100,128,0.0001,2,2.829845666885376,0.5675675868988037
model_01,adam,categorical_crossentropy,100,128,0.0001,3,1.182804822921753,0.585995078086853
model_01,adam,categorical_crossentropy,100,128,0.0001,4,3.989574909210205,0.4766584634780884
model_01,adam,categorical_crossentropy,100,128,1e-05,0,4.427609443664551,0.2555282413959503
model_01,adam,categorical_crossentropy,100,128,1e-05,1,59.35169982910156,0.2751842737197876
model_01,adam,categorical_crossentropy,100,128,1e-05,2,45.27850341796875,0.34766584634780884
model_01,adam,categorical_crossentropy,100,128,1e-05,3,159.8095703125,0.1695331633090973
model_01,adam,categorical_crossentropy,100,128,1e-05,4,15.57185173034668,0.5515970587730408
model_01,adam,binary_crossentropy,10,32,0.001,0,0.5150379538536072,0.5921375751495361
model_01,adam,binary_crossentropy,10,32,0.001,1,0.9964558482170105,0.5810810923576355
model_01,adam,binary_crossentropy,10,32,0.001,2,0.7033869624137878,0.5700245499610901
model_01,adam,binary_crossentropy,10,32,0.001,3,0.5121389627456665,0.5970516204833984
model_01,adam,binary_crossentropy,10,32,0.001,4,0.648811936378479,0.48525798320770264
model_01,adam,binary_crossentropy,10,32,0.0001,0,5.377114295959473,0.45823097229003906
model_01,adam,binary_crossentropy,10,32,0.0001,1,0.6590806841850281,0.5577395558357239
model_01,adam,binary_crossentropy,10,32,0.0001,2,0.8800445199012756,0.5233415365219116
model_01,adam,binary_crossentropy,10,32,0.0001,3,2.063541889190674,0.49754300713539124
model_01,adam,binary_crossentropy,10,32,0.0001,4,1.5401670932769775,0.4987714886665344
model_01,adam,binary_crossentropy,10,32,1e-05,0,12.940595626831055,0.3255528211593628
model_01,adam,binary_crossentropy,10,32,1e-05,1,97.82474517822266,0.1375921368598938
model_01,adam,binary_crossentropy,10,32,1e-05,2,23.212604522705078,0.4619164764881134
model_01,adam,binary_crossentropy,10,32,1e-05,3,49.470027923583984,0.3132678270339966
model_01,adam,binary_crossentropy,10,32,1e-05,4,52.929039001464844,0.13267813622951508
model_01,adam,binary_crossentropy,10,128,0.001,0,0.9275318384170532,0.5184274911880493
model_01,adam,binary_crossentropy,10,128,0.001,1,1.3796495199203491,0.5061424970626831
model_01,adam,binary_crossentropy,10,128,0.001,2,0.5481598377227783,0.5933660864830017
model_01,adam,binary_crossentropy,10,128,0.001,3,1.144157886505127,0.5307125449180603
model_01,adam,binary_crossentropy,10,128,0.001,4,0.5111976265907288,0.5958231091499329
model_01,adam,binary_crossentropy,10,128,0.0001,0,20.769412994384766,0.3439803421497345
model_01,adam,binary_crossentropy,10,128,0.0001,1,26.82750129699707,0.4950859844684601
model_01,adam,binary_crossentropy,10,128,0.0001,2,35.023433685302734,0.12162162363529205
model_01,adam,binary_crossentropy,10,128,0.0001,3,29.65963363647461,0.5307125449180603
